"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","5:00.6","5:00.6","0.50","10:02","98","117","2","4","127","319","0.79","6.9","8.9","188","170","2.20","282","3.64","33","7:54","158","4:52","9:45"
"","1","Run","2","2:00","7:00.6","0.33","6:00","136","148","5","0","158","285","1.04","9.3","8.9","333","332","4.29","408","5.27","25","5:29","165","1:59","5:57"
"","","Recovery","3","2:00","9:00.6","0.15","13:07","121","146","0","0","108","300","0.84","5.9","7.7","190","115","1.49","294","3.80","14","7:28","158","1:59","13:00"
"","2","Run","4","2:00","11:01","0.35","5:38","125","137","0","4","157","281","1.14","9.7","8.7","316","318","4.11","373","4.82","23","5:18","167","1:59","5:35"
"","","Recovery","5","2:00","13:01","0.17","12:04","121","137","0","7","111","358","0.79","6.0","7.8","162","105","1.36","273","3.53","13","5:57","159","1:59","11:58"
"","3","Run","6","2:00","15:01","0.37","5:24","131","148","0","7","160","281","1.09","9.5","8.9","295","304","3.93","348","4.50","22","5:15","163","1:59","5:21"
"","","Recovery","7","2:00","17:01","0.16","12:43","128","149","2","0","110","291","0.79","6.1","8.0","210","130","1.68","329","4.25","15","5:40","159","1:59","12:37"
"","4","Run","8","2:00","19:01","0.30","6:36","136","153","9","0","155","290","0.96","8.9","9.4","317","322","4.16","363","4.69","23","5:58","165","1:59","6:33"
"","","Recovery","9","2:00","21:01","0.14","14:13","125","149","2","0","102","316","0.80","5.7","8.0","161","112","1.45","200","2.58","14","9:55","155","1:59","14:05"
"","5","Run","10","2:00","23:01","0.32","6:12","134","142","2","0","158","286","1.02","9.1","9.1","292","298","3.85","378","4.88","23","5:39","163","1:59","6:09"
"","","Recovery","11","2:00","25:01","0.16","12:20","121","141","0","2","106","284","0.78","5.9","7.8","173","109","1.41","280","3.62","12","6:31","161","1:59","12:13"
"","6","Run","12","2:00","27:01","0.40","4:57","139","161","2","3","162","259","1.20","9.6","8.1","357","373","4.82","524","6.77","25","3:40","180","1:59","4:55"
"","","Recovery","13","2:00","29:01","0.14","14:39","137","162","2","0","99","284","0.83","5.8","8.1","213","104","1.34","353","4.56","16","5:36","160","1:59","14:31"
"","","Cool Down","14","8:12.9","37:13","0.57","14:18","107","120","2","8","100","--","0.77","5.7","7.6","94","94","1.21","158","2.04","36","9:49","110","8:12.9","14:18"
"","Summary","--","--","37:13","37:13","4.08","9:08","120","162","28","36","124","287","0.93","7.1","8.5","252","186","2.40","524","6.77","296","3:40","180","37:07","9:06"